gene_symbol,RED,pvalue,p_adj,APAreg,Significance
CNOT6,-0.19289363406943,0.359322394787498,0.615657898470548,NC,NS
CNOT6L,-0.016709314116032,0.921203677407108,0.968980935204487,NC,NS
CNOT7,0.533169914616084,0.021580592908542,0.134940718876401,UP,NS
CNOT8,-0.525912253991164,0.34680563714271,0.606750407173413,NC,NS
CNR1,0.0813744644921282,0.513598395690688,0.73380834472944,NC,NS
CNST,-0.00901067645357667,0.9633669113099,0.980992372120178,NC,NS
CNTN1,-0.396020641127293,0.0356076111538259,0.177304718239646,DN,NS
CNTNAP2,-0.167256236420856,0.0918934619493424,0.306779371972677,NC,NS
COL4A3BP,-1.01121177657469,0.00957217263458581,0.0843500889016935,DN,NS
COMMD1,-0.758208621945831,0.00597644652252713,0.0625228251587453,DN,NS
COMMD2,-0.768825650452298,0.134676314530496,0.373688296377477,NC,NS
COMMD9,-2.42289476866107,4.68707388151387e-05,0.00283307576838172,DN,Shortened in Neurites
COPA,-0.229828515386067,0.215240119188334,0.475494923201844,NC,NS
COPB2,0.382034557051297,0.202271459376094,0.465267120087083,NC,NS
COPG2,0.808814372696444,0.0757382887013057,0.274220492868621,NC,NS
COPS2,-1.46193823817112,1.96977388518731e-05,0.00186254929122241,DN,Shortened in Neurites
COPS6,-0.799054172153998,0.0386775956838949,0.186200106655211,DN,NS
COPS8,0.804988063695872,0.0121340036014311,0.0967164536143376,UP,NS
COPZ1,-0.0225432946810572,0.939978263923386,0.974872688056294,NC,NS
COQ10A,-0.43220819579255,0.26991598455806,0.530962624558349,NC,NS
CORO1C,-0.339393664393608,0.379100632059544,0.631679253750674,NC,NS
CORO2B,0.244738106254835,0.24789221858843,0.506491518918707,NC,NS
COTL1,-0.190168189939741,0.586892760028621,0.78904248748508,NC,NS
COX20,-2.44169218174028,5.45732101009661e-06,0.00107955731981548,DN,Shortened in Neurites
COX5A,-2.32844281122284,0.0109114933128497,0.0906237001861108,DN,NS
COX6B1,-0.408916086630234,0.128297349919217,0.3668528691514,NC,NS
COX6C,-2.37513198738665,0.000633786507659798,0.0143658275069554,DN,Shortened in Neurites
COX7A2,0.165332333043763,0.348212750400927,0.607451922481299,NC,NS
COX7B,-1.81316615679286,0.00232900523484665,0.0344756149049409,DN,Shortened in Neurites
COX7C,-1.05861260635289,0.00083435209860089,0.016810649690329,DN,Shortened in Neurites
CPD,-0.297113111381295,0.0907408253651635,0.306602540364279,NC,NS
CPE,0.401032173161679,0.123067843657687,0.358975372384888,NC,NS
CPEB2,-0.677901915990077,0.0183428322560863,0.121689033503792,DN,NS
CPEB3,-0.358248945110221,0.196286965144215,0.458282803382461,NC,NS
CPLX1,0.07667555425579,0.816551941301931,0.916357413240332,NC,NS
CPNE3,-0.280275450509388,0.552419068792983,0.762736282451371,NC,NS
CPSF6,-0.824082270046091,0.000235014723223617,0.0076327169811133,DN,Shortened in Neurites
CRBN,1.40211478992261,0.000886354813693094,0.0175961299760385,UP,Lengthened in Neurites
CREB3L2,-0.7278857285768,0.049232707508115,0.212560260987417,DN,NS
CREBL2,0.108628988744215,0.78343225154528,0.900553924650041,NC,NS
CREG1,0.0520963901767936,0.86023263129915,0.945526615233802,NC,NS
CRIM1,-0.811589804294664,0.00368961048588117,0.045877670955871,DN,Shortened in Neurites
CRK,-0.28400042606385,0.214351281727224,0.474016420861509,NC,NS
CRKL,-0.192269077322303,0.674184781517904,0.841388055375121,NC,NS
CRTAP,-0.938612944034791,0.00176961574637005,0.0283138519419207,DN,Shortened in Neurites
CRYBG3,-0.45974126380499,0.403520858744023,0.649221850458504,NC,NS
CS,-0.15914963022305,0.713042005277869,0.863542267721552,NC,NS
CSDE1,-0.196753480606744,0.0583010359583561,0.231925144872729,NC,NS
CSNK1A1,-0.713675575286115,0.000476084319716387,0.0121877585847395,DN,Shortened in Neurites
CSNK1D,-0.0212763231988893,0.940913487378057,0.97496559454031,NC,NS
CSTB,-0.668085591834339,0.023657947735925,0.139774252210901,DN,NS
CTBP1,0.0671368538945186,0.757755892597186,0.88786198636547,NC,NS
CTBP2,0.215677464781842,0.20053729797601,0.463729182142188,NC,NS
CTDNEP1,-0.0870732903120845,0.916505675733121,0.966917029266952,NC,NS
CTIF,0.137026754988929,0.699051318359602,0.855454683694376,NC,NS
CTNNA2,0.117466791487366,0.685628199640806,0.846723588205671,NC,NS
CTNNB1,0.0871534808081229,0.443099151509786,0.678524809067766,NC,NS
CTNNBIP1,-0.908953487769365,0.0236059239526647,0.139774252210901,DN,NS
CTNND2,0.017537355080036,0.91137177283592,0.96633218232965,NC,NS
CTPS1,-0.246660768865032,0.331821125812707,0.593795835304637,NC,NS
CTSB,-0.199297344652458,0.50740466394322,0.727114590658655,NC,NS
CTSZ,-1.1799603466504,0.00555204166985565,0.0592217778117936,DN,NS
CUL3,-0.349035114456708,0.284327387298063,0.547315487423007,NC,NS
CUL4A,-0.259094749603072,0.148390778311195,0.390918079425135,NC,NS
CWF19L2,-0.488165816803413,0.137058736815559,0.37704148079729,NC,NS
CXXC5,0.118628108606828,0.606858751589153,0.806351925820783,NC,NS
CYB561,-0.113070571665175,0.108945413261786,0.334837880307411,NC,NS
CYB5B,-0.228608015265776,0.463635193056966,0.69385844573037,NC,NS
CYB5D2,-0.36195908839211,0.155654010051139,0.400832101622816,NC,NS
CYCS,-0.344056896450148,0.108450318710629,0.334734600729543,NC,NS
CYFIP2,0.113911145889575,0.760088524118665,0.888062325466704,NC,NS
CYLD,-0.588706918312377,0.111748636802038,0.33914230638945,NC,NS
CYP51A1,-0.0997163363510655,0.296002882179934,0.559116555228764,NC,NS
CYSTM1,-0.114064936908508,0.68544200480996,0.846723588205671,NC,NS
CYTH1,0.703029556335163,0.011463416590444,0.0934246985048922,UP,NS
DAB1,0.200765382701131,0.253238655925529,0.512125757708134,NC,NS
DAB2IP,0.0168281959249728,0.955188935823937,0.978815643073234,NC,NS
DAP3,-0.0403299303639118,0.929150592395086,0.971224801654252,NC,NS
DBI,-0.0249151545316417,0.895584902444705,0.962366788997372,NC,NS
DBNDD1,0.15720211516187,0.631828472582473,0.818658606016627,NC,NS
DCAF11,-0.70377527012115,0.0651677739786803,0.249218060066096,NC,NS
DCAF17,-0.00492059490113039,0.976284958038036,0.986915933560773,NC,NS
DCAF5,0.454300208876409,0.131677694948727,0.371044113835954,NC,NS
DCAKD,-0.18708765640874,0.397836185518279,0.644115728934357,NC,NS
DCC,0.421792686066126,0.483367341675717,0.708287768004282,NC,NS
DCK,-0.378479832380311,0.550777719944411,0.761430952095959,NC,NS
