Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL,Significance,text_label,plot_color,plot_layer,down_rank,up_rank
ENSG00000119801,1070.28532544008,-0.267787538371815,0.067266485987644,2.26423277219807e-05,0.000258772730274568,YPEL5,NS,,#c4c4c4,bottom,,
ENSG00000119812,360.821033168614,0.263525528831989,0.0739714451207395,0.000126591701081436,0.0011923883311029,FAM98A,NS,,#c4c4c4,bottom,,
ENSG00000119820,1802.93969652872,0.141425007241824,0.0447385080683123,0.00111336044284351,0.00765236429641848,YIPF4,NS,,#c4c4c4,bottom,,
ENSG00000119844,817.332636805555,-0.0165858996463782,0.0549507571558569,0.752008079843209,0.884443819412912,AFTPH,NS,,#c4c4c4,bottom,,
ENSG00000119862,876.327986195411,-0.138036707098636,0.0611776735532749,0.0167007405706425,0.0707205007924182,LGALSL,NS,,#c4c4c4,bottom,,
ENSG00000119865,955.844411115263,-0.254436549104634,0.0526719590824883,5.27838198187909e-07,8.6654395847755e-06,CNRIP1,NS,,#c4c4c4,bottom,,
ENSG00000119866,3279.53682057364,-0.158601569158177,0.042710603054728,0.000136307313782757,0.00126544687284313,BCL11A,NS,,#c4c4c4,bottom,,
ENSG00000119878,868.617351212661,-0.0366210661013661,0.0579134614478277,0.505979704383436,0.727180716232294,CRIPT,NS,,#c4c4c4,bottom,,
ENSG00000119888,33.3976241580244,0.128348437138215,0.181491418375936,0.214560600945656,0.444051971222886,EPCAM,NS,,#c4c4c4,bottom,,
ENSG00000119899,239.647468145544,-0.0518588687371636,0.0819060932546511,0.481335080727115,0.709420025431068,SLC17A5,NS,,#c4c4c4,bottom,,
ENSG00000119900,704.279898252323,0.0279545569594568,0.0628290420870994,0.637769377440137,0.81838079959197,OGFRL1,NS,,#c4c4c4,bottom,,
ENSG00000119906,1533.20278266628,0.0192423771768718,0.0504114722280082,0.692725241697205,0.850435895416849,SLF2,NS,,#c4c4c4,bottom,,
