"","PG.ProteinGroups","PG.Genes","[1] HN1.raw.PG.MS2Channel1","[2] HN2.raw.PG.MS2Channel1","[3] HN3.raw.PG.MS2Channel1","[4] HN4.raw.PG.MS2Channel1","[1] HN1.raw.PG.MS2Channel3","[2] HN2.raw.PG.MS2Channel3","[3] HN3.raw.PG.MS2Channel3","[4] HN4.raw.PG.MS2Channel3","logFC","AveExpr","t","P.Value","adj.P.Val","B","Group"
"2442","Q9GZT3","SLIRP",22850.03516,20963.2168,23145.75,27075.69922,NA,91.62139893,NA,NA,12.8814064625776,8.07402164183672,8.43990566769398,6.47514442320017e-05,0.000169674239001056,2.38967399540502,"UP"
"2443","P49591","SARS1",79079.91406,82321.5625,86104.6875,86370.54688,16.59899712,131.6251984,NA,55.53190613,12.0956264418535,10.3002196835005,8.43566780292493,6.49612360326113e-05,0.000170154297737487,2.38647753900059,"UP"
"2444","O15144","ARPC2",41370.85156,42265.13281,42242.9375,46349.30078,57.42208099,59.83798599,32.08875656,NA,11.1816781675593,9.80174195986648,8.43388049597475,6.50499454460889e-05,0.000170303911011947,2.38512893717955,"UP"
"2445","Q9Y2Q9","MRPS28",9348.226563,8683.797852,8715.921875,10748.2666,57148.28125,54418.16016,35361.90625,26557.85352,-2.1461669368578,14.2621988516254,-8.43344495430554,6.50715834386952e-05,0.000170303911011947,2.38480025631955,"DOWN"
"2446","P02649","APOE",18260.30469,21043.63086,22528.67773,22221.92969,459.7427673,351.048645,497.7902527,46.29771042,6.3958826680108,11.1563004821853,8.42382428566066,6.55516260584185e-05,0.000171490128842118,2.37753548499296,"UP"
"2447","P04216","THY1",132038.625,140674.0938,143660.2813,131763.1875,155.1457367,NA,19.8365078,73.52507019,12.5912711193439,10.7674967822079,8.42155431334664,6.56654739245926e-05,0.000171657714685587,2.37582011089573,"UP"
"2448","P62753","RPS6",9873.542969,9977.49707,10195.85449,8287.52832,NA,NA,NA,61.43585587,11.7306347538453,7.35639309633552,8.42147737288167,6.56693367010967e-05,0.000171657714685587,2.37576195997688,"UP"
"2449","Q9NWS0","PIH1D1",4360.280273,2651.064697,3879.669434,2183.081299,219.1752014,332.6887207,555.6851196,243.3282623,3.31501874491359,9.96207485770219,8.41933887585941,6.57768022789949e-05,0.000171868418858019,2.37414547988099,"UP"
"2450","O15439","ABCC4",1625.80481,771.8511963,1212.02771,1782.487915,NA,NA,22.38229752,NA,9.18985250740609,5.73176245105844,8.41642567728714,6.59235189133785e-05,0.00017204102672378,2.37194271331725,"UP"
"2451","O60292","SIPA1L3",779.605957,1480.467529,625.9283447,1249.806152,NA,19.30892372,NA,NA,8.84450483125259,5.50826288570468,8.41652538127354,6.59184914373229e-05,0.00017204102672378,2.37201811604059,"UP"
