PG.ProteinGroups,PG.Genes,[1] HN1.raw.PG.MS2Channel1,[2] HN2.raw.PG.MS2Channel1,[3] HN3.raw.PG.MS2Channel1,[4] HN4.raw.PG.MS2Channel1,[5] HS1.raw.PG.MS2Channel1,[6] HS3.raw.PG.MS2Channel1,[7] HS4.raw.PG.MS2Channel1,[8] LN1.raw.PG.MS2Channel1,[9] LN2.raw.PG.MS2Channel1,[10] LN3.raw.PG.MS2Channel1,[11] LN4.raw.PG.MS2Channel1,[12] LS1.raw.PG.MS2Channel1,[13] LS2.raw.PG.MS2Channel1,[14] LS3.raw.PG.MS2Channel1,[15] LS4.raw.PG.MS2Channel1,[1] HN1.raw.PG.MS2Channel3,[2] HN2.raw.PG.MS2Channel3,[3] HN3.raw.PG.MS2Channel3,[4] HN4.raw.PG.MS2Channel3,[5] HS1.raw.PG.MS2Channel3,[6] HS3.raw.PG.MS2Channel3,[7] HS4.raw.PG.MS2Channel3,[8] LN1.raw.PG.MS2Channel3,[9] LN2.raw.PG.MS2Channel3,[10] LN3.raw.PG.MS2Channel3,[11] LN4.raw.PG.MS2Channel3,[12] LS1.raw.PG.MS2Channel3,[13] LS2.raw.PG.MS2Channel3,[14] LS3.raw.PG.MS2Channel3,[15] LS4.raw.PG.MS2Channel3
Q8WTV0,SCARB1,NaN,NaN,2085.467041,1735.482544,3581.260986,4326.125977,3042.088379,1764.320801,809.1101685,2004.605225,1835.294678,3423.967285,2838.055664,2484.594727,NaN,NaN,NaN,723.5754395,471.7964783,237.0241241,111.114296,41.93112183,1,414.8589783,544.7897339,505.6681519,43.38795853,121.0153427,241.713089,NaN
Q8WTW3,COG1,143.0258026,239.8824005,21.82562828,876.8327637,2655.446533,1654.085327,1574.121094,1,NaN,1.009531617,538.7015381,2699.358398,2102.188965,2536.387939,1030.446777,183.7924957,1,21.20372772,1,1,1,1,1,NaN,1.009531617,1,1,1,157.4434052,1
Q8WU76,SCFD2,1840.828979,1615.835449,1600.693115,1604.420532,3023.814453,3468.314941,2841.936035,1493.615601,1695.939087,815.350647,1703.001099,3398.095703,2921.039063,2458.869385,2747.800049,129.2987213,1,105.8020248,77.99906158,1,36.88245392,52.2040863,1,1.278159738,31.41769028,1,1,1,1,1
Q8WU79,SMAP2,6283.825195,6447.795898,6611.566406,6765.285156,6479.212402,8328.008789,5908.366699,5535.365723,5002.934082,7701.01709,6625.743164,6149.279785,7983.721191,7107.254395,6128.158691,1,1,22.07599449,17.19271088,14.33571339,1,1,1,1.274944425,1.01122582,107.6402512,1,1,1,1
Q8WU90,ZC3H15,3564.289795,2901.852295,2675.479248,4143.359375,11696.74609,10798.04297,9232.861328,3630.695801,2765.955811,4609.874023,1320.555176,11364.64746,9266.988281,13938.83887,11741.08105,189.0611725,117.806282,155.420166,326.3214111,200.9157104,336.9474182,68.65467072,1,213.2253876,374.7270813,277.8505554,108.2157364,65.37179565,116.7164536,104.804512
Q8WUA2,PPIL4,NaN,175.9263763,904.0560913,444.4077759,3964.981934,3516.454834,3736.351074,162.4085999,1.253532648,NaN,NaN,3556.009277,4136.886719,4601.277832,3458.679688,NaN,1,1,10962.73828,4871.17334,478.5385132,2353.839355,1,1.253532648,NaN,NaN,4813.310059,2598.795654,847.1306152,5814.459961
Q8WUA4,GTF3C2,NaN,NaN,NaN,NaN,2592.194336,2265.483643,2066.983154,NaN,NaN,1,1,2694.587646,2513.464844,1879.317627,1857.205688,NaN,NaN,NaN,NaN,13.7235527,193.5487823,407.5757751,NaN,NaN,1,1,94.51721954,114.9735031,105.0899734,107.3077316
Q8WUA7,TBC1D22A,1352.24707,1497.425659,828.6711426,665.5284424,1160.536133,1088.137207,1096.072998,1439.816406,NaN,1226.092407,880.7354736,1571.141357,1347.800903,1923.397583,1936.512451,283.1309509,1,150.1080627,316.5812378,14.03320026,1,1,1,NaN,1.022633314,1,1,1,157.9768372,1
Q8WUB8,PHF10,2909.012695,NaN,NaN,NaN,1927.615234,NaN,1470.532715,NaN,3011.810059,NaN,NaN,1342.431763,1947.706665,NaN,1273.345337,1,NaN,NaN,NaN,402.0849609,NaN,180.3649139,NaN,682.1835938,NaN,NaN,1,1130.801636,NaN,405.8355408
Q8WUD1,RAB2B,18097.74805,19231.96094,18018.89258,23244.86523,21282.33789,15951.76563,12622.2207,21402.9043,17982.11914,21360.29688,24187.55859,36091.6875,22604.70508,18004.97656,19230.39453,587.2622681,81.30158234,335.1048584,482.2574768,156.4010162,231.4782715,444.2952576,38.88103867,1.128519416,21.18174744,159.1256866,467.8631897,195.9341736,290.6221008,581.9035645
