rank,PG.Genes,row_mean.HN_H
423,PTPRN2,738.0612107
424,MAPK15,737.545868
425,PGK1,735.4285278
426,UBE2K,728.5941467
427,TLN2,727.9992523
428,SART3,727.5885905
429,MRPL2,726.4268723
430,GABARAPL2,726.2434845
431,EPHX1,725.7814331
432,AJM1,722.5058595
433,XRN1,721.5534973
434,NECTIN2,719.8166351
435,VPS4A,719.4635925
436,ABLIM2,717.120369
437,MAGEA4,716.3221741
438,ARHGEF40,716.12426
439,BLVRA,714.8129425
440,NUMBL,710.2546082
441,CCDC22,709.4867803
442,TBC1D5,707.0354118
443,RAB6B,705.8588334
444,SEZ6L2,705.395874
445,ATP1A2,704.2309493
446,TXLNA,702.9826965
447,BMERB1,702.9544373
448,DHX30,702.9243622
449,UBE2G2,699.7070516
450,PTPN12,699.3988266
451,NAA80,695.9114838
452,PI4KA,695.4046555
453,PDF,690.3870601
454,FER,690.3218231
455,HSPA13,690.1244583
456,LRFN4,688.4802819
457,HIKESHI,687.0991974
458,PITPNB,685.8036481
459,TXLNG,684.2362765
460,GMFB,683.0935288
461,AGPAT3,681.3760146
462,ERG28,680.7612381
463,EMC8,680.4663924
464,OXR1,679.830059
465,FAM98A,679.5717316
466,C16orf70,679.0546417
467,DGKA,678.8056793
468,LDHB,676.1506118
469,VAT1L,675.8966065
470,RPAP1,675.6014404
471,EEF1B2,674.5721283
472,PHACTR1,673.1026917
473,REEP1,673.0471089
474,VTI1B,671.3383075
475,SEC16A,669.1985575
476,GSPT2,665.9440307
477,PDE1C,663.4602127
478,SDF2,663.0180461
479,CFAP298,662.4447975
480,NAA35,661.7155558
481,RAB5A,658.2048187
482,ARSB,655.5891061
483,KRT19,655.0781689
484,CNOT3,654.4787596
485,CHD8,651.207672
486,MTMR9,651.0133706
487,SPTLC2,648.8648338
488,ADAP1,648.1329593
489,ZDHHC14,647.1469498
490,ADCY1,646.7084274
491,PCDHB5,646.0645791
492,BPHL,645.9541855
493,CPT1C,645.2557577
494,ESD,641.6749726
495,NME2P1,639.2457399
496,SPCS2,635.7637482
497,PIGT,632.6893234
498,CACNG8,630.1213588
499,VCPIP1,629.6535415
500,PIGS,629.0114174
501,TMEFF2,628.7395325
502,PRTFDC1,627.1115799
503,TTC9C,627.0329971
504,PRKAA1,623.4525223
505,PMPCA,622.6622772
506,PTPRO,621.8573685
507,RPLP0,621.107193
508,PAG1,619.0058136
509,IMPDH2,616.0127105
510,FTSJ1,615.36586
511,IGF2R,613.6767731
512,PEPD,613.6128998
513,VAPB,613.4255219
514,TRIM36,613.0950978
515,KCNB2,611.3346409
516,TP53BP2,610.2940617
517,RAB4A,609.8117447
518,FBL,609.6001943
519,HAX1,609.4812515
520,HSD17B12,608.4943009
521,AARSD1,608.227356
522,TM9SF2,606.7958985
523,SNX5,605.9237385
524,EIF2AK4,605.8477987
525,UQCRQ,604.50383
526,EML5,603.7092896
527,TMEM126A,602.2533264
528,TMEM128,601.578064
529,TMOD3,599.1857605
530,ATP6V1H,598.9708939
531,DGKE,597.6556626
532,SLC25A6,597.4320193
533,TBC1D9,597.1195324
534,SARS2,593.1996689
535,CAPN2,591.2606964
536,DCUN1D3,590.9623146
537,KCNC1,589.99779
538,DAGLB,586.0171661
539,STK39,585.0080719
