sample	group	guide_group_actual	guide_group	bio_group	layout	orig_filename	orig_filename_R2
sg1126_N_HNRNPA1kd_4_L2	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_4	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_4_S4_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_4_S4_L002_R2_001.fastq.gz
sg1126_N_HNRNPA1kd_5_L1	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_5	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_5_S5_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_5_S5_L001_R2_001.fastq.gz
sg1126_N_HNRNPA1kd_5_L2	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_5	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_5_S5_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_5_S5_L002_R2_001.fastq.gz
sg1126_N_HNRNPA1kd_6_L1	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_6	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_6_S6_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_6_S6_L001_R2_001.fastq.gz
sg1126_N_HNRNPA1kd_6_L2	HNRNPA1kd	sg1126_N_HNRNPA1kd	sg1126	sg1126_N_HNRNPA1kd_6	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_6_S6_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_6_S6_L002_R2_001.fastq.gz
sg1126_S_HNRNPA1kd_7_L1	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_7	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_7_S7_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_7_S7_L001_R2_001.fastq.gz
sg1126_S_HNRNPA1kd_7_L2	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_7	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_7_S7_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_7_S7_L002_R2_001.fastq.gz
sg1126_S_HNRNPA1kd_8_L1	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_8	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_8_S8_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_8_S8_L001_R2_001.fastq.gz
sg1126_S_HNRNPA1kd_8_L2	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_8	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_8_S8_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_8_S8_L002_R2_001.fastq.gz
sg1126_S_HNRNPA1kd_9_L1	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_9	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_9_S9_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_9_S9_L001_R2_001.fastq.gz
